date,İTÜ_TR
2021-01-03,39
2021-01-10,42
2021-01-17,39
2021-01-24,43
2021-01-31,42
2021-02-07,49
2021-02-14,56
2021-02-21,69
2021-02-28,58
2021-03-07,37
2021-03-14,43
2021-03-21,34
2021-03-28,32
2021-04-04,34
2021-04-11,32
2021-04-18,31
2021-04-25,34
2021-05-02,33
2021-05-09,23
2021-05-16,32
2021-05-23,42
2021-05-30,44
2021-06-06,39
2021-06-13,49
2021-06-20,54
2021-06-27,66
2021-07-04,77
2021-07-11,43
2021-07-18,26
2021-07-25,86
2021-08-01,68
2021-08-08,62
2021-08-15,58
2021-08-22,65
2021-08-29,75
2021-09-05,81
2021-09-12,88
2021-09-19,78
2021-09-26,90
2021-10-03,100
2021-10-10,76
2021-10-17,58
2021-10-24,51
2021-10-31,59
